Categoría: Todas las categorías

Mes,Navidad: (Todo el mundo),Gift: (Todo el mundo)
2004-01,5,19
2004-02,1,21
2004-03,1,17
2004-04,1,19
2004-05,1,20
2004-06,1,20
2004-07,1,19
2004-08,1,20
2004-09,2,20
2004-10,4,21
2004-11,21,32
2004-12,100,56
2005-01,6,19
2005-02,1,20
2005-03,1,17
2005-04,1,18
2005-05,1,21
2005-06,1,19
2005-07,1,18
2005-08,1,20
2005-09,2,18
2005-10,4,20
2005-11,20,31
2005-12,96,55
2006-01,6,18
2006-02,1,19
2006-03,1,16
2006-04,1,17
2006-05,1,19
2006-06,1,18
2006-07,1,18
2006-08,1,19
2006-09,2,18
2006-10,4,20
2006-11,18,31
2006-12,87,55
2007-01,6,18
2007-02,1,19
2007-03,1,16
2007-04,1,17
2007-05,1,18
2007-06,1,18
2007-07,1,17
2007-08,1,18
2007-09,2,17
2007-10,4,18
2007-11,17,28
2007-12,80,49
2008-01,6,17
2008-02,1,18
2008-03,1,15
2008-04,1,16
2008-05,1,18
2008-06,1,17
2008-07,1,16
2008-08,1,17
2008-09,2,16
2008-10,5,18
2008-11,18,26
2008-12,78,45
2009-01,6,16
2009-02,1,17
2009-03,1,15
2009-04,2,15
2009-05,1,17
2009-06,1,16
2009-07,1,17
2009-08,1,17
2009-09,2,16
2009-10,4,18
2009-11,18,27
2009-12,79,46
2010-01,7,17
2010-02,2,18
2010-03,2,16
2010-04,1,17
2010-05,1,19
2010-06,1,18
2010-07,1,17
2010-08,1,17
2010-09,2,17
2010-10,4,18
2010-11,18,27
2010-12,77,46
2011-01,8,19
2011-02,6,18
2011-03,4,16
2011-04,2,17
2011-05,1,18
2011-06,1,17
2011-07,1,16
2011-08,1,17
2011-09,2,17
2011-10,5,18
2011-11,19,27
2011-12,79,49
2012-01,8,19
2012-02,5,19
2012-03,4,16
2012-04,1,17
2012-05,1,19
2012-06,1,19
2012-07,1,18
2012-08,2,18
2012-09,2,19
2012-10,5,19
2012-11,19,29
2012-12,69,49
2013-01,7,20
2013-02,3,20
2013-03,2,17
2013-04,1,18
2013-05,1,19
2013-06,1,19
2013-07,1,19
2013-08,2,19
2013-09,2,18
2013-10,5,20
2013-11,21,30
2013-12,76,53
2014-01,6,21
2014-02,3,21
2014-03,2,18
2014-04,1,19
2014-05,1,20
2014-06,1,20
2014-07,1,20
2014-08,2,20
2014-09,2,19
2014-10,5,21
2014-11,23,31
2014-12,83,55
2015-01,6,22
2015-02,2,22
2015-03,2,19
2015-04,1,20
2015-05,1,22
2015-06,1,21
2015-07,3,21
2015-08,2,26
2015-09,3,22
2015-10,6,23
2015-11,24,34
2015-12,88,60
2016-01,6,24
2016-02,2,24
2016-03,2,21
2016-04,1,21
2016-05,1,23
2016-06,1,23
2016-07,1,22
2016-08,2,22
2016-09,3,22
2016-10,6,23
2016-11,24,34
2016-12,79,62
2017-01,6,26
2017-02,2,26
2017-03,1,22
2017-04,1,23
2017-05,1,26
2017-06,1,25
2017-07,1,24
2017-08,1,24
2017-09,2,24
2017-10,5,26
2017-11,23,38
2017-12,76,66
2018-01,6,27
2018-02,2,28
2018-03,1,24
2018-04,1,24
2018-05,1,27
2018-06,1,25
2018-07,1,24
2018-08,1,25
2018-09,2,24
2018-10,5,26
2018-11,22,39
2018-12,73,68
2019-01,6,28
2019-02,2,27
2019-03,1,24
2019-04,1,24
2019-05,1,27
2019-06,1,26
2019-07,1,26
2019-08,2,26
2019-09,2,25
2019-10,5,27
2019-11,23,39
2019-12,75,69
2020-01,6,29
2020-02,2,28
2020-03,1,21
2020-04,1,25
2020-05,1,30
2020-06,1,29
